date,store_nbr,item_nbr,unit_sales
2017-01-02,0,0,36
2017-01-03,0,0,36
2017-01-04,0,0,34
2017-01-05,0,0,33
2017-01-06,0,0,45
2017-01-07,0,0,45
2017-01-08,0,0,49
2017-01-09,0,0,46
2017-01-10,0,0,31
2017-01-11,0,0,32
2017-01-12,0,0,44
2017-01-13,0,0,54
2017-01-14,0,0,57
2017-01-15,0,0,39
2017-01-16,0,0,36
2017-01-17,0,0,39
2017-01-18,0,0,26
2017-01-19,0,0,36
2017-01-20,0,0,31
2017-01-21,0,0,42
2017-01-22,0,0,30
2017-01-23,0,0,34
2017-01-24,0,0,25
2017-01-25,0,0,38
2017-01-26,0,0,41
2017-01-27,0,0,48
2017-01-28,0,0,28
2017-01-29,0,0,43
2017-01-30,0,0,36
2017-01-31,0,0,35
2017-02-01,0,0,25
2017-02-02,0,0,36
2017-02-03,0,0,40
2017-02-04,0,0,47
2017-02-05,0,0,58
2017-02-06,0,0,30
2017-02-07,0,0,34
2017-02-08,0,0,42
2017-02-09,0,0,35
2017-02-10,0,0,49
2017-02-11,0,0,57
2017-02-12,0,0,49
2017-02-13,0,0,27
2017-02-14,0,0,35
2017-02-15,0,0,46
2017-02-16,0,0,28
2017-02-17,0,0,59
2017-02-18,0,0,57
2017-02-19,0,0,42
2017-02-20,0,0,50
2017-02-21,0,0,39
2017-02-22,0,0,0
2017-02-23,0,0,41
2017-02-24,0,0,56
2017-02-25,0,0,54
2017-02-26,0,0,55
2017-02-27,0,0,36
2017-02-28,0,0,39
2017-03-01,0,0,46
2017-03-02,0,0,35
2017-03-03,0,0,52
2017-03-04,0,0,51
2017-03-05,0,0,49
2017-03-06,0,0,27
2017-03-07,0,0,30
2017-03-08,0,0,35
2017-03-09,0,0,47
2017-03-10,0,0,61
2017-03-11,0,0,41
2017-03-12,0,0,40
2017-03-13,0,0,41
2017-03-14,0,0,20
2017-03-15,0,0,33
2017-03-16,0,0,39
2017-03-17,0,0,63
2017-03-18,0,0,64
2017-03-19,0,0,45
2017-03-20,0,0,0
2017-03-21,0,0,32
2017-03-22,0,0,47
2017-03-23,0,0,37
2017-03-24,0,0,47
2017-03-25,0,0,60
2017-03-26,0,0,47
2017-03-27,0,0,35
2017-03-28,0,0,0
2017-03-29,0,0,36
2017-03-30,0,0,36
2017-03-31,0,0,62
2017-04-01,0,0,63
