case,stratum,item_nbr,date,rel_width,fact_block,raw_llm_output,l1_pass,shown_text,shown_source,harry_faithful,harry_usable,harry_note,batch,judge_faithful,judge_usable,judge_reason
1,confident,1239792,2017-08-01,0.003,"{""sku_name"": ""item 1239792"", ""abstain"": false, ""recommend_cases"": 0, ""recent_avg"": 0.0, ""last_same_weekday"": 0.0}","ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",True,"ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",LLM,yes,yes,"a bit long; only restates the facts, no reason given",1,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly readable without confidence language."
2,confident,514327,2017-06-15,0.271,"{""sku_name"": ""item 514327"", ""abstain"": false, ""recommend_cases"": 0, ""recent_avg"": 0.0, ""last_same_weekday"": 0.0}","ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",True,"ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",LLM,yes,yes,"a bit long; only restates the facts, no reason given",1,yes,yes,Sentence accurately reflects all fact block values and clearly communicates the order quantity and comparison in under 5 seconds.
3,confident,958015,2017-07-11,0.0,"{""sku_name"": ""item 958015"", ""abstain"": false, ""recommend_cases"": 0, ""recent_avg"": 0.0, ""last_same_weekday"": 0.0}","ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",True,"ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",LLM,yes,yes,"a bit long; only restates the facts, no reason given",1,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly readable without confidence language."
4,confident,1239800,2017-08-01,0.274,"{""sku_name"": ""item 1239800"", ""abstain"": false, ""recommend_cases"": 0, ""recent_avg"": 0.0, ""last_same_weekday"": 0.0}","ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",True,"ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",LLM,yes,yes,"a bit long; only restates the facts, no reason given",1,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly readable without confidence language."
5,borderline,838215,2017-06-12,0.523,"{""sku_name"": ""item 838215"", ""abstain"": false, ""recommend_cases"": 4, ""recent_avg"": 36.9, ""last_same_weekday"": 39.0}","ORDER 4 cases. Recent average 36.9, close to last week's 39.0.",True,"ORDER 4 cases. Recent average 36.9, close to last week's 39.0.",LLM,yes,yes,"a bit long; only restates the facts, no reason given",1,yes,yes,"Sentence accurately reflects the fact block data, opens with clear order directive, and is quickly scannable without confidence language."
6,borderline,813769,2017-05-26,0.315,"{""sku_name"": ""item 813769"", ""abstain"": false, ""recommend_cases"": 0, ""recent_avg"": 0.0, ""last_same_weekday"": 0.0}","ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",True,"ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",LLM,yes,yes,"a bit long; only restates the facts, no reason given",1,yes,yes,Sentence accurately reflects all fact block values and clearly communicates the order quantity with supporting metrics in under 5 seconds.
7,borderline,885543,2017-07-20,0.555,"{""sku_name"": ""item 885543"", ""abstain"": false, ""recommend_cases"": 0, ""recent_avg"": 0.0, ""last_same_weekday"": 0.0}","ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",True,"ORDER 0 cases. Recent average 0.0, same as last week's 0.0.",LLM,yes,yes,"a bit long; only restates the facts, no reason given",1,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly readable without confidence language."
8,abstain,1044592,2017-08-15,1.619,"{""sku_name"": ""item 1044592"", ""abstain"": true, ""recommend_cases"": null, ""recent_avg"": 9.0, ""last_same_weekday"": 9.0}",,True,ASK ME - this one is harder to call than usual. Please set it manually.,template (abstain),yes,yes,,1,yes,yes,Sentence accurately reflects the abstain flag and delegates to manager without unsupported claims or confidence language.
9,abstain,860548,2017-05-19,1.101,"{""sku_name"": ""item 860548"", ""abstain"": true, ""recommend_cases"": null, ""recent_avg"": 6.1, ""last_same_weekday"": 8.0}",,True,ASK ME - this one is harder to call than usual. Please set it manually.,template (abstain),yes,yes,,1,yes,yes,"Sentence accurately reflects the abstain flag without unsupported claims, and clearly hands decision back to manager in under 5 seconds."
10,abstain,279157,2017-07-21,0.934,"{""sku_name"": ""item 279157"", ""abstain"": true, ""recommend_cases"": null, ""recent_avg"": 13.0, ""last_same_weekday"": 12.0}",,True,ASK ME - this one is harder to call than usual. Please set it manually.,template (abstain),yes,yes,,1,yes,yes,"Sentence accurately reflects the abstain flag without unsupported claims, and clearly delegates to manager with readable hand-back."
11,confident,1239887,2017-07-19,0.203,"{""sku_name"": ""item 1239887"", ""abstain"": false, ""recommend_cases"": 1, ""recent_avg"": 3.4, ""last_same_weekday"": 9.0}","ORDER 1 case. Recent average 3.4, lower than last week's 9.0.",True,"ORDER 1 case. Recent average 3.4, lower than last week's 9.0.",LLM,yes,yes,,2,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly scannable without confidence language."
12,confident,617096,2017-06-11,0.271,"{""sku_name"": ""item 617096"", ""abstain"": false, ""recommend_cases"": 4, ""recent_avg"": 25.4, ""last_same_weekday"": 51.0}","ORDER 4 cases. Recent average 25.4, significantly lower than last week's 51.0.",True,"ORDER 4 cases. Recent average 25.4, significantly lower than last week's 51.0.",LLM,yes,yes,,2,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order directive, and is quickly readable without confidence language."
13,confident,108696,2017-07-04,0.283,"{""sku_name"": ""item 108696"", ""abstain"": false, ""recommend_cases"": 1, ""recent_avg"": 11.4, ""last_same_weekday"": 7.0}","ORDER 1 case. Recent average 11.4, higher than last week's 7.0.",True,"ORDER 1 case. Recent average 11.4, higher than last week's 7.0.",LLM,yes,yes,,2,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly scannable without confidence language."
14,confident,671051,2017-06-17,0.246,"{""sku_name"": ""item 671051"", ""abstain"": false, ""recommend_cases"": 1, ""recent_avg"": 10.0, ""last_same_weekday"": 6.0}","ORDER 1 case. Recent average 10, higher than last week's 6.",True,"ORDER 1 case. Recent average 10, higher than last week's 6.",LLM,yes,yes,,2,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly scannable without confidence language."
15,borderline,882624,2017-07-22,0.541,"{""sku_name"": ""item 882624"", ""abstain"": false, ""recommend_cases"": 3, ""recent_avg"": 19.0, ""last_same_weekday"": 34.0}","ORDER 3 cases. Recent average 19, significantly lower than last week's 34.",True,"ORDER 3 cases. Recent average 19, significantly lower than last week's 34.",LLM,yes,yes,,2,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order directive, and is quickly scannable without confidence language."
16,borderline,1149069,2017-06-20,0.528,"{""sku_name"": ""item 1149069"", ""abstain"": false, ""recommend_cases"": 1, ""recent_avg"": 61.6, ""last_same_weekday"": 21.0}","ORDER 1 case. Recent average 61.6, significantly higher than last week's 21.0.",True,"ORDER 1 case. Recent average 61.6, significantly higher than last week's 21.0.",LLM,yes,yes,,2,yes,yes,"Sentence accurately reflects all fact block values, opens with clear order quantity, and is quickly scannable without confidence language."
